data,score,city,comment,nick
2018-08-20,4,淮安,也许剧本差强人意但和主演没什么关系但我看的是情怀！,粉丝面条方便面
2018-08-20,2,昆山,一部靠情怀欺骗票房的盗(墓)版爱情公寓，找不到当年看爱情公寓的感觉了，片尾卖王传君的感情牌实在是没什么意思,圊空
2018-08-20,2,重庆,不好说得……,望自己如初
2018-08-20,4.5,顺德,小孩看的很开心！,尘封2222
2018-08-20,4.5,临夏,一开始觉得进错了片场，意想不到的是只有彩蛋让我觉得在看爱情公寓。,ISy194141995
2018-08-20,5,深圳,好看期待下一季,局外人柠檬
2018-08-20,5,中山,非常好笑，值得看！,giu306586591
2018-08-20,0.5,日照,差评，爱情公寓演成爱情公墓ოර⌄රოཤ,Selon.Won
2018-08-20,2.5,洛阳,郁闷，感觉不是想象中的爱情公寓,rJU785418526
2018-08-20,0.5,台州,从没有看见过这种票房的,gqS221344131
2018-08-20,1.5,郑州,不是期待中的,CvR499204723
2018-08-20,3.5,潜江,感觉就是盗墓笔记,忍者猫咪
2018-08-20,5,鞍山,很好看的电影，环境好。,feng9896
2018-08-20,5,烟台,很好看，是很多人的回忆,晶g610
2018-08-20,5,苏州,很好啊，怀念～,大兰Lani
2018-08-20,1,台州,简直玷污我对爱情公寓的忠诚,FeIIow
2018-08-20,4.5,杭州,爱情公寓我笑了很多次所以它还是爱情公寓,aFe500853157
2018-08-20,0.5,惠州,简直烂的像坨屎………,grW185294783
2018-08-20,5,菏泽,欺骗感情的烂片,sunshinekexin
2018-08-20,1,景德镇,狗血剧情，，,xip141186865
2018-08-20,5,上海,很好看，期待了很长很长时间,wuli小强6
2018-08-20,4,广州,很久没一个人看过电影了，失落,Wtetsziky
2018-08-20,5,合肥,很好看呀！！！,PdE857719707
2018-08-20,5,广州,特喜欢，完美,我叫某某某00
2018-08-20,3,营口,没意思，一般般吧,ykpnn
2018-08-20,2,襄阳,失望。只想安安静静观看关于爱情公寓的回忆,麦兜响铛铛66
2018-08-20,0.5,东台,我的爱情公寓没了,RCG386614352
2018-08-20,4,青岛,好看，还是以前的爱情公寓,吃货的世界mcn
2018-08-20,3.5,深圳,还行吧，没有期待那么好,uJU295882321
2018-08-20,0.5,上海,为什么必须要给星才能评价，这种烂片真的一星都不想给，消费情怀，欺骗那么多爱着爱情公寓的观众，烂片,婀娥额饿
2018-08-20,5,汕头,喜欢，无厘头，搞笑，俊男美女玩盗墓，喜欢,_qqt2f1400661265
2018-08-20,5,句容,"虽然没有我们预想的完美，但终归是让我们笑了一场，泪了一场。
当《爱情公寓》四个大字出现的时候，相信很多人都回到那个《爱情公寓》第一部时了吧，一股熟悉又陌生的感觉涌上心头，熟悉的是还是那帮人：一菲的怼人功力；美嘉的“一口盐汽水喷死你”；子乔的傻笑，大张伟的扭啊扭；悠悠的思念。遗憾的是少了王传君，少了那个一言不合就要“切腹自尽”的关谷神奇。
希望即将上映的《爱5》能带给我们更多欢笑以及曾经的回忆！❤️",MAm420181632
2018-08-20,2.5,大同,一般般吧，不是很喜欢,jMH360098802
2018-08-20,1,台州,不怎么样辣鸡,bge998873005
2018-08-19,0.5,石家庄,烂的一塌糊涂,凌啾啾啾
2018-08-19,4,郑州,挺搞笑的，看的很开心,绝缘体www
2018-08-19,5,本溪,挺好的，完美的,JJ云中飞燕
2018-08-19,5,海口,好-看又好笑,XXW228832800
2018-08-19,5,黑河,情怀问题吧=_=,绿鹅.
2018-08-19,0.5,东莞,不好看超级烂,OLo730108611
2018-08-19,4.5,常州,还是很好看的，特效很逼真，超级like剧里的张起灵,Cha320218819
2018-08-19,3,台州,就这样。。。,L.I.P.782
2018-08-19,5,运城,好看，我永远支持,ebP706371959
2018-08-19,5,吴江,还是蛮好看的，终于等到了，虽然不是很外面，不过总体来说还是不错的。,IzL653842741
